Similarity	English text	German sentenced	German sentence (translated)
parallel	In 1872 the first horse railway was inaugurated, and from 1893 an electric tram was developed.	1872 wurde die erste Pferdebahn eingeweiht, die ab 1893 zur elektrischen Straßenbahn weiterentwickelt wurde.	in 1872, the first horse tramway was inaugurated, was developed from 1893 to the electric street railway .
parallel	On 1 July 2013, Croatia became the 28th EU member.	Am 1. Juli 2013 wurde Kroatien der 28. Mitgliedsstaat.	Croatia the 28th Member State was on July 1, 2013.
parallel	Japan has the world's tenth-largest population, with over 126 million people.	Mit über 126 Millionen Einwohnern liegt Japan auf Platz zehn der bevölkerungsreichsten Länder der Erde.	With a population of over 126 million, ten of the most populous countries in the worldis Japan ranked.
parallel	In 2012, the EU was awarded the Nobel Peace Prize.	2012 wurde der Europäischen Union der Friedensnobelpreis zuerkannt.	2012, the European Union was awarded the Nobel Peace Prize .
parallel	An early record of the word in English is in a 1565 letter, spelled Giapan.	Im Englischen findet sich der Landesname in der Schreibweise „Giapan“ zum ersten Mal in einem Brief aus dem Jahr 1565.	In English you will find the country name in the spelling "Giapan" for the first time in a letter from the year 1565.
parallel	The Wii (/ˈwiː/ WEE) is a home video game console released by Nintendo on November 19, 2006.	Die Wii [wiː] ist eine Spielkonsole von Nintendo, die seit Ende 2006 auf dem Markt ist.	The Wii [wiː] is a game console by Nintendo, which has since the end of 2006 on the market.
parallel	The European Union received the 2012 Nobel Peace Prize for having "contributed to the advancement of peace and reconciliation, democracy, and human rights in Europe."	2012 wurde der Europäischen Union der Friedensnobelpreis „für über sechs Jahrzehnte Beitrag zur Förderung von Frieden und Versöhnung, Demokratie und Menschenrechten in Europa“ zuerkannt.	2012, the Nobel Peace Prize was the European Union "for over six decades of contribution to the promotion of peace and reconciliation, democracy and human rights in Europe" awarded.
parallel	The city is well known for its festivals, diverse architecture, nightlife, contemporary arts, and a high quality of living.	Berlins Architektur, Festivals, Nachtleben und vielfältige Lebensbedingungen sind weltweit bekannt.	Berlin's architecture, festivals, nightlife and diverse living conditions are known worldwide.
parallel	Though the vast majority were women, children, elderly or disabled, 63 witnesses estimated that there were at least 300 men inside the perimeter of the UN compound and between 600 and 900 men in the crowd outside.	Obwohl die überwältigende Mehrheit Frauen, Kinder, Behinderte oder ältere Personen waren, schätzten Augenzeugen im Prozess gegen den ehemaligen serbischen General Radislav Krstić, dass auch ca. 300 Männer auf dem UN-Gelände und ca. 600 bis 900 wei...	Although the overwhelming majority were women, children, disabled or elderly persons, estimated eye-witnesses in the trial against the former Serb General Radislav Krstic, that about 300 men of the UN premises and approximately 600 to 900 had been lookin...
parallel	One big focus is put on film, video, contemporary music and architecture, room installments and big presentations of contemporary paintings, sculptures and video art.	Schwerpunkte sind Film, Video, zeitgenössische Musik und Architektur, zudem werden raumgreifende Installationen und umfassende Präsentationen zeitgenössischer Malerei, Skulpturen und Videokunst ausgestellt.	Focuses on contemporary music, film, video and architecture, also space-filling installations and comprehensive presentations of contemporary painting, sculpture and video art are exhibited.
parallel	A Scientologist who is actively in communication with a suppressive person and as a result shows signs of antisocial behaviour is referred to as a Potential Trouble Source.	Personen, die Kontakt mit „unterdrückerischen Personen“ pflegen, werden Scientology-intern als potentielle Schwierigkeitsquellen (potential trouble sources) bezeichnet.	People who maintain contact with "repressive people", are Scientology internally as potential sources of difficulty (potential trouble sources) referred to.
parallel	On 13 April 1993, the Serbs told the UNHCR representatives that they would attack the town within two days unless the Bosniaks surrendered and agreed to be evacuated.	Am 13. April 1993 teilten die bosnisch-serbischen Militärs Vertretern des UNHCR mit, sie würden Srebrenica angreifen, falls sich die Bosniaken nicht innerhalb von zwei Tagen ergeben würden.	On April 13, 1993, the Bosnian Serb military shared with representatives of the UNHCR, they would attack Srebrenica if the Bosnians not within two days would result.
parallel	With an area of 43 hectares (110 acres) and around 22,000 different plant species, it is one of the largest and most diverse collections of botanical life in the world.	Mit einer Fläche von über 43 Hektar und etwa 22.000 verschiedenen Pflanzenarten ist er der drittgrößte Botanische Garten der Welt.	He is the third largest botanical gardens of the world with an area of over 43 hectares and around 22,000 different plant species.
parallel	NSDAP rule effectively destroyed Berlin's Jewish community, which had numbered 160,000, representing one-third of all Jews in the country.	Nationalsozialisten und NS-Regime zerstörten Berlins jüdische Gemeinde, die vor 1933 rund 160.000 Mitglieder zählte.	Nazis and NAZI regime destroyed Berlin's Jewish community, which had before 1933 approximately 160,000 members.
parallel	The interpretation and the application of EU law and the treaties are ensured by the Court of Justice of the European Union.	Der Gerichtshof der Europäischen Union soll für eine einheitliche Auslegung des Rechts der Europäischen Union sorgen.	The Court of Justice of the European Union is to ensure a uniform interpretation of European Union law.
